DATASET: NCBI
Family	True_Pos	Res_hits	Rel_Seqs	Precision	Recall
Tet_Inactivator	15	15	16	1.0	0.9375
TetA	29	29	30	1.0	0.9666666666666667
TetA-B	14	14	14	1.0	1.0
TetA-G	4	5	4	0.8	1.0
TetD	8	8	8	1.0	1.0
TetE	3	3	3	1.0	1.0
TetH-TetJ	7	7	7	1.0	1.0
TetH	5	5	5	1.0	1.0
TetJ	2	2	2	1.0	1.0
TetM-TetW-TetO-TetS	88	88	88	1.0	1.0
TetM	42	42	42	1.0	1.0
TetW	24	24	24	1.0	1.0
TetO	14	14	14	1.0	1.0
TetS	3	3	3	1.0	1.0
Tetracycline_Resistance_MFS_Efflux_Pump	212	212	220	1.0	0.9636363636363636
Tetracycline_Resistance_Ribosomal_Protection_Protein	98	98	98	1.0	1.0
TetX	5	5	5	1.0	1.0
TetY	49	77	49	0.6363636363636364	1.0
tolC	0	0	0	N/A	N/A
vanA	8	8	8	1.0	1.0
vanB	3	3	9	1.0	0.3333333333333333
vanC	18	18	18	1.0	1.0
vanD	11	19	12	0.5789473684210527	0.9166666666666666
vanH	20	20	20	1.0	1.0
vanR	28	28	28	1.0	1.0
vanS	28	28	28	1.0	1.0
vanT	13	13	13	1.0	1.0
vanW	9	9	9	1.0	1.0
vanX	27	27	27	1.0	1.0
vanY	16	16	16	1.0	1.0
vanZ	3	3	3	1.0	1.0
VEB	32	33	32	0.9696969696969697	1.0
VIM	65	65	65	1.0	1.0
