CARD:
Seq_Header	Hmmscan_Family
gb|AAA21889.1|ARO:3002554|AAC(6')-Ig	RF0004
gb|AAA25680.1|ARO:3002595|AAC(6')-IIb	RF0004
gb|AAA26549.1|ARO:3002549|AAC(6')-Ic	RF0004
gb|AAA87229.1|ARO:3002558|AAC(6')-Ik	RF0004
gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	RF0004
gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	RF0004
gb|AAC14693.1|ARO:3002637|APH(2'')-IVa	RF0004
gb|AAC41391.1|ARO:3002555|AAC(6')-Ih	RF0004
gb|AAC41392.1|ARO:3002557|AAC(6')-Ij	RF0004
gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	RF0004
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	RF0004
gb|AAD03490.1|ARO:3002561|AAC(6')-Ir	RF0004
gb|AAD03491.1|ARO:3002562|AAC(6')-Is	RF0004
gb|AAD03492.1|ARO:3002564|AAC(6')-It	RF0004
gb|AAD03493.1|ARO:3002565|AAC(6')-Iu	RF0004
gb|AAD03494.1|ARO:3002566|AAC(6')-Iv	RF0004
gb|AAD03495.1|ARO:3002567|AAC(6')-Iw	RF0004
gb|AAD03496.1|ARO:3002568|AAC(6')-Ix	RF0004
gb|AAD46626.1|ARO:3002596|AAC(6')-IIc	RF0004
gb|AAD52985.1|ARO:3002570|AAC(6')-Iz	RF0004
gb|AAF03531.1|ARO:3002569|AAC(6')-Iy	RF0004
gb|AAK26252.2|ARO:3002583|AAC(6')-29a	RF0004
gb|AAK63040.1|ARO:3002635|APH(2'')-IIa	RF0004
gb|AAK63041.1|ARO:3004629|AAC(6')-Im	RF0004
gb|AAL20537.1|ARO:3002571|AAC(6')-Iaa	RF0004
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	RF0004
gb|AAL51021.2|ARO:3002598|ANT(3'')-Ii-AAC(6')-IId	RF0004
gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	RF0004
gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	RF0004
gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	RF0004
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	RF0004
gb|AAW34150.1|ARO:3004191|APH(2'')-If	RF0004
gb|AAX38178.1|ARO:3002634|APH(2'')-Ie	RF0004
gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	RF0004
gb|ABR10839.1|ARO:3002586|AAC(6')-32	RF0004
gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	RF0004
gb|ACI31326.1|ARO:3002584|AAC(6')-29b	RF0004
gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	RF0004
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	RF0004
gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	RF0004
gb|AGV10818.1|ARO:3002669|APH(2'')-Ig	RF0004
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	RF0004
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	RF0004
gb|APB03223.1|ARO:3003989|AAC(6')-34	RF0004
gb|BAD10948.2|ARO:3002563|AAC(6')-Isa	RF0004
gb|BAD11815.1|ARO:3002593|AAC(6')-Ib-SK	RF0004
gb|BAD12078.1|ARO:3002572|AAC(6')-Iad	RF0004
gb|BAO21229.1|ARO:3003199|AAC(6')-Iak	RF0004
gb|BAQ22025.1|ARO:3003200|AAC(6')-Ian	RF0004
gb|CAA39038.1|ARO:3002553|AAC(6')-If	RF0004
gb|CAE48335.2|ARO:3002599|AAC(6')-30/AAC(6')-Ib'	RF0004
gb|CAK55557.1|ARO:3002585|AAC(6')-31	RF0004
gb|AAD46626.1|ARO:3002596|AAC(6')-IIc	RF0006
gb|CAK55557.1|ARO:3002585|AAC(6')-31	RF0006
gb|AAA26832.1|ARO:3002827|tlrC	RF0007
gb|AAA50325.1|ARO:3003036|oleB	RF0007
gb|AAA74437.1|ARO:3000378|MexB	RF0007
gb|AAB41956.1|ARO:3000800|MexC	RF0007
gb|AAB41957.1|ARO:3000801|MexD	RF0007
gb|AAB41958.1|ARO:3000802|OprJ	RF0007
gb|AAB58160.1|ARO:3003009|ceoA	RF0007
gb|AAB58161.1|ARO:3003010|ceoB	RF0007
gb|AAC32027.1|ARO:3002817|carA	RF0007
gb|AAC43969.1|ARO:3003037|opcM	RF0007
gb|AAC60780.1|ARO:3003049|rosB	RF0007
gb|AAC60781.1|ARO:3003048|rosA	RF0007
gb|AAC73564.1|ARO:3000216|acrB	RF0007
gb|AAC73565.1|ARO:3004043|Escherichia	RF0007
gb|AAC75135.2|ARO:3000792|mdtA	RF0007
gb|AAC75136.1|ARO:3000793|mdtB	RF0007
gb|AAC75137.1|ARO:3000794|mdtC	RF0007
gb|AAC75271.1|ARO:3003952|yojI	RF0007
gb|AAC75733.1|ARO:3000074|emrB	RF0007
gb|AAC76297.1|ARO:3000499|acrE	RF0007
gb|AAC76298.1|ARO:3000502|acrF	RF0007
gb|AAC76539.1|ARO:3000796|mdtF	RF0007
gb|AAD51344.1|ARO:3003051|smeA	RF0007
gb|AAD51345.1|ARO:3003052|smeB	RF0007
gb|AAD51346.1|ARO:3003053|smeC	RF0007
gb|AAF40763.1|ARO:3003961|farA	RF0007
gb|AAF40764.1|ARO:3003962|farB	RF0007
gb|AAF42062.1|ARO:3000811|mtrD	RF0007
gb|AAF42063.1|ARO:3000810|mtrC	RF0007
gb|AAG03546.1|ARO:3003679|TriA	RF0007
gb|AAG03547.1|ARO:3003680|TriB	RF0007
gb|AAG03548.1|ARO:3003681|TriC	RF0007
gb|AAG03816.1|ARO:3000379|OprM	RF0007
gb|AAG05882.1|ARO:3000804|MexF	RF0007
gb|AAG05883.1|ARO:3000805|OprN	RF0007
gb|AAG05913.1|ARO:3004072|OpmB	RF0007
gb|AAG05914|ARO:3004075|MuxC	RF0007
gb|AAG05915.1|ARO:3004074|MuxB	RF0007
gb|AAG05916.1|ARO:3004073|MuxA	RF0007
gb|AAG07064.1|ARO:3003693|mexK	RF0007
gb|AAG07065.1|ARO:3003692|mexJ	RF0007
gb|AAG07592.1|ARO:3000806|mexG	RF0007
gb|AAG07593.1|ARO:3000807|mexH	RF0007
gb|AAG07595.1|ARO:3000809|opmD	RF0007
gb|AAG07762.1|ARO:3003030|mexV	RF0007
gb|AAG07763.1|ARO:3003031|mexW	RF0007
gb|AAG08359.1|ARO:3003682|OpmH	RF0007
gb|AAK01167.1|ARO:3002819|msrC	RF0007
gb|AAK76137.1|ARO:3000024|patA	RF0007
gb|AAL14439.1|ARO:3000774|adeA	RF0007
gb|AAL14440.1|ARO:3000775|adeB	RF0007
gb|AAL19304.1|ARO:3000791|mdsC	RF0007
gb|AAL19305.1|ARO:3000790|mdsB	RF0007
gb|AAL19306.1|ARO:3000789|mdsA	RF0007
gb|AAO43110.1|ARO:3000300|lsaA	RF0007
gb|AAP43109.1|ARO:3003922|oqxA	RF0007
gb|AAP43110.2|ARO:3003923|oqxB	RF0007
gb|AAV85981.1|ARO:3000533|macA	RF0007
gb|AAV85982.1|ARO:3000535|macB	RF0007
gb|AAX14802.1|ARO:3000781|adeJ	RF0007
gb|AAX14803.1|ARO:3000782|adeK	RF0007
gb|ABD30512.1|ARO:3000839|arlS	RF0007
gb|ABG77965.1|ARO:3004042|Enterobacter	RF0007
gb|ABS43151.1|ARO:3000784|cmeB	RF0007
gb|ABS43901.1|ARO:3000783|cmeA	RF0007
gb|ABX00624.1|ARO:3002881|lmrC	RF0007
gb|ACJ41739.1|ARO:3000780|adeI	RF0007
gb|ACN32294.1|ARO:3000237|tolC	RF0007
gb|AEA37904.1|ARO:3003112|lsaC	RF0007
gb|AEO25219.1|ARO:3004651|lin	RF0007
gb|AET10444.1|ARO:3004032|tetA(46)	RF0007
gb|AGN74946|ARO:3003749|salA	RF0007
gb|AHB37625.1|ARO:3004715|vga(E)	RF0007
gb|AKA86814|ARO:3003746|optrA	RF0007
gb|ALX99516.1|ARO:3003811|adeC	RF0007
gb|ANZ79240.1|ARO:3004035|tetA(60)	RF0007
gb|APB03219.1|ARO:3003986|TaeA	RF0007
gb|AVI44920.1|ARO:3004470|poxtA	RF0007
gb|AYV52072.1|ARO:3002882|lmrD	RF0007
gb|BAA11236.1|ARO:3000206|emrK	RF0007
gb|BAA11237.1|ARO:3000254|emrY	RF0007
gb|BAA16344.1|ARO:3000491|acrD	RF0007
gb|BAA16547.1|ARO:3000027|emrA	RF0007
gb|BAA34300.1|ARO:3003033|mexY	RF0007
gb|BAE06005.1|ARO:3003704|mexM	RF0007
gb|BAE06006.1|ARO:3003705|mexN	RF0007
gb|BAE06007.1|ARO:3003698|mexP	RF0007
gb|BAE06008.1|ARO:3003699|mexQ	RF0007
gb|BAE06009.1|ARO:3003700|opmE	RF0007
gb|BAE77781.1|ARO:3000795|mdtE	RF0007
gb|BAE78082.1|ARO:3003550|mdtP	RF0007
gb|BAE78083.1|ARO:3003549|mdtO	RF0007
gb|BAE78084.1|ARO:3003548|mdtN	RF0007
gb|BAM10414.1|ARO:3003039|oprA	RF0007
gb|BAO79432.1|ARO:3000785|cmeC	RF0007
gb|CAA36304.1|ARO:3000251|msrA	RF0007
gb|CAA45050.1|ARO:3002828|srmB	RF0007
gb|CAA64891.1|ARO:3000812|mtrE	RF0007
gb|CAB13166.1|ARO:3003063|ykkC	RF0007
gb|CAB13167.1|ARO:3003064|ykkD	RF0007
gb|CAC14594.1|ARO:3003055|smeD	RF0007
gb|CAC14595.1|ARO:3003056|smeE	RF0007
gb|CAC14596.1|ARO:3003057|smeF	RF0007
gb|CAC41008.1|ARO:3004041|Klebsiella	RF0007
gb|CAH14032.1|ARO:3004099|LpeA	RF0007
gb|CAH14033.1|ARO:3004100|LpeB	RF0007
gb|CAH35802.1|ARO:3002983|amrB	RF0007
gb|CAJ77855.1|ARO:3000779|adeH	RF0007
gb|CAJ77856.1|ARO:3000777|adeF	RF0007
gb|CAJ77857.1|ARO:3000778|adeG	RF0007
gb|CBY88983.1|ARO:3002833|vgaE	RF0007
gb|CDO61513.1|ARO:3003948|efrA	RF0007
gb|CDO61516.1|ARO:3003949|efrB	RF0007
gb|EGP45230|ARO:3004142|OprZ	RF0007
gb|EGP45231.1|ARO:3004144|AxyY	RF0007
gb|EHL92831.1|ARO:3004588|Klebsiella	RF0007
gb|EOU56998.1|ARO:3004597|Klebsiella	RF0007
gb|KIX81495.1|ARO:3002813|lmrB	RF0007
gb|NP_252896.1|ARO:3000808|mexI	RF0007
gb|NP_388442.1|ARO:3004476|vmlR	RF0007
gb|NP_862226.1|ARO:3004639|Corynebacterium	RF0007
gb|SOX29786.1|ARO:3004730|tva(A)	RF0007
gb|AAA74437.1|ARO:3000378|MexB	RF0020
gb|AAB41957.1|ARO:3000801|MexD	RF0020
gb|AAC73564.1|ARO:3000216|acrB	RF0020
gb|AAC76298.1|ARO:3000502|acrF	RF0020
gb|AAC76539.1|ARO:3000796|mdtF	RF0020
gb|AAD51345.1|ARO:3003052|smeB	RF0020
gb|AAF42062.1|ARO:3000811|mtrD	RF0020
gb|BAA16344.1|ARO:3000491|acrD	RF0020
gb|BAA34300.1|ARO:3003033|mexY	RF0020
gb|CAC14595.1|ARO:3003056|smeE	RF0020
gb|CAH35802.1|ARO:3002983|amrB	RF0020
gb|EGP45231.1|ARO:3004144|AxyY	RF0020
gb|AAB41958.1|ARO:3000802|OprJ	RF0021
gb|AAC43969.1|ARO:3003037|opcM	RF0021
gb|AAD51346.1|ARO:3003053|smeC	RF0021
gb|AAG05883.1|ARO:3000805|OprN	RF0021
gb|AAG05913.1|ARO:3004072|OpmB	RF0021
gb|AAG07595.1|ARO:3000809|opmD	RF0021
gb|AAG08359.1|ARO:3003682|OpmH	RF0021
gb|AAL19304.1|ARO:3000791|mdsC	RF0021
gb|BAE06009.1|ARO:3003700|opmE	RF0021
gb|BAE78082.1|ARO:3003550|mdtP	RF0021
gb|BAM10414.1|ARO:3003039|oprA	RF0021
gb|BAO79432.1|ARO:3000785|cmeC	RF0021
gb|CAA64891.1|ARO:3000812|mtrE	RF0021
gb|CAC14596.1|ARO:3003057|smeF	RF0021
gb|CAJ77855.1|ARO:3000779|adeH	RF0021
gb|EGP45230|ARO:3004142|OprZ	RF0021
gb|AAC60780.1|ARO:3003049|rosB	RF0023
gb|AAC60781.1|ARO:3003048|rosA	RF0023
gb|AAC75733.1|ARO:3000074|emrB	RF0023
gb|AAF40764.1|ARO:3003962|farB	RF0023
gb|AAK76136.1|ARO:3000025|patB	RF0023
gb|AAK76137.1|ARO:3000024|patA	RF0023
gb|AAV85982.1|ARO:3000535|macB	RF0023
gb|ABD30512.1|ARO:3000839|arlS	RF0023
gb|AET10444.1|ARO:3004032|tetA(46)	RF0023
gb|AET10445.1|ARO:3004033|tetB(46)	RF0023
gb|ANZ79240.1|ARO:3004035|tetA(60)	RF0023
gb|ANZ79241.1|ARO:3004036|tetB(60)	RF0023
gb|AYV52072.1|ARO:3002882|lmrD	RF0023
gb|BAA11237.1|ARO:3000254|emrY	RF0023
gb|BAE78083.1|ARO:3003549|mdtO	RF0023
gb|CDO61513.1|ARO:3003948|efrA	RF0023
gb|CDO61516.1|ARO:3003949|efrB	RF0023
gb|EOU56998.1|ARO:3004597|Klebsiella	RF0023
gb|AAC64365.1|ARO:3000230|ANT(2'')-Ia	RF0026
gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	RF0027
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	RF0027
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	RF0027
gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	RF0027
gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	RF0027
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	RF0027
gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	RF0027
gb|ABG49324.1|ARO:3002609|aadA9	RF0027
gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	RF0027
gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	RF0027
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	RF0027
gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	RF0027
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	RF0027
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	RF0027
gb|CAE48335.2|ARO:3002599|AAC(6')-30/AAC(6')-Ib'	RF0027
gb|CAI57696.1|ARO:3002614|aadA14	RF0027
gb|CAK55557.1|ARO:3002585|AAC(6')-31	RF0027
gb|CTQ57092.1|ARO:3004682|aadA27	RF0027
gb|ENU37733|ARO:3004091|ANT(3'')-IIc	RF0027
gb|ENU91137|ARO:3004090|ANT(3'')-IIb	RF0027
gb|AAO83986.1|ARO:3002623|ANT(4')-Ia	RF0028
gb|ADA62098.1|ARO:3003905|ANT(4')-Ib	RF0028
gb|AAU10334.1|ARO:3002628|aad(6)	RF0029
gb|CAB14620.1|ARO:3002627|aadK	RF0029
gb|AAC73788.1|ARO:3003841|kdpE	RF0035
gb|AAD51348.1|ARO:3003066|smeR	RF0035
gb|ADM92605.1|ARO:3000553|adeR	RF0035
gb|BAB36671.1|ARO:3000832|evgA	RF0035
gb|CCP46065.1|ARO:3000816|mtrA	RF0035
gb|WP_000192137.1|ARO:3000838|arlR	RF0035
gb|AAD51347.1|ARO:3003067|smeS	RF0036
gb|ADM92606.1|ARO:3000549|adeS	RF0036
gb|BAA15934.1|ARO:3000829|baeS	RF0036
gb|BAB38260.1|ARO:3000830|cpxA	RF0036
gb|AAR20595.1|ARO:3000090|BLA1	RF0037
gb|CAA29819.1|ARO:3002877|BcI	RF0037
gb|BAB41258.1|ARO:3000124|mecI	RF0042
gb|CAA33795.1|ARO:3003563|RCP-1	RF0044
gb|ACX65640.1|ARO:3003907|cipA	RF0048
gb|AGZ55247.1|ARO:3002814|clbA	RF0048
gb|AIA09786.1|ARO:3000861|rmtC	RF0048
gb|AIX48090.1|ARO:3004599|clcD	RF0048
gb|BAD63613.1|ARO:3002816|clbC	RF0048
gb|BAH45481.1|ARO:3002815|clbB	RF0048
gb|CAL84423.1|ARO:3004146|cfrC	RF0048
gb|CDF47262.1|ARO:3004649|cfr(B)	RF0048
gb|ACH58985.1|ARO:3002485|LRA-2	RF0053
gb|ACH58987.1|ARO:3002510|LRA-3	RF0053
gb|ACH58988.1|ARO:3002487|LRA-8	RF0053
gb|ACH58989.1|ARO:3002488|LRA-9	RF0053
gb|ACH58990.1|ARO:3002511|LRA-12	RF0053
gb|ACH58994.1|ARO:3002512|LRA-17	RF0053
gb|ACH58998.1|ARO:3002486|LRA-7	RF0053
gb|ACH59005.1|ARO:3002513|LRA-19	RF0053
gb|AAR20595.1|ARO:3000090|BLA1	RF0054
gb|CAA29819.1|ARO:3002877|BcI	RF0054
gb|AAA83417.1|ARO:3001407|OXA-12	RF0056
gb|AAD12233.1|ARO:3001417|OXA-22	RF0056
gb|ABX38721.1|ARO:3001609|OXA-114a	RF0056
gb|AFQ90085.1|ARO:3001610|OXA-243	RF0056
gb|AFR53898.2|ARO:3001551|OXA-364	RF0056
gb|ALC76097.1|ARO:3003611|OXA-455	RF0056
gb|ALC76098.1|ARO:3003613|OXA-457	RF0056
gb|ALC76100.1|ARO:3003614|OXA-458	RF0056
gb|ALC76101.1|ARO:3003615|OXA-459	RF0056
gb|ARO85965.1|ARO:3003115|OXA-427	RF0056
gb|CAD58780.1|ARO:3001794|OXA-45	RF0056
gb|CCE73593.2|ARO:3001503|OXA-258	RF0056
gb|PLT17746.1|ARO:3003599|OXA-443	RF0056
gb|AAF86691.1|ARO:3001816|ACC-2	RF0057
gb|AAF86697.1|ARO:3001817|ACC-3	RF0057
gb|AAS07017.3|ARO:3002494|SRT-2	RF0057
gb|ABF50909.1|ARO:3002521|OCH-8	RF0057
gb|ABP49606.1|ARO:3001818|ACC-4	RF0057
gb|ACQ82806.1|ARO:3002498|PDC-2	RF0057
gb|ACQ82807.1|ARO:3002497|PDC-1	RF0057
gb|ACQ82808.1|ARO:3002500|PDC-3	RF0057
gb|ACQ82809.1|ARO:3002501|PDC-4	RF0057
gb|ACQ82810.1|ARO:3002502|PDC-5	RF0057
gb|ACQ82811.1|ARO:3002505|PDC-6	RF0057
gb|ACQ82812.1|ARO:3002506|PDC-7	RF0057
gb|ACQ82813.1|ARO:3002507|PDC-8	RF0057
gb|ACQ82814.1|ARO:3002508|PDC-9	RF0057
gb|ACQ82815.1|ARO:3002509|PDC-10	RF0057
gb|AKR18013.1|ARO:3004336|PDC-73	RF0057
gb|AKR18014.1|ARO:3004337|PDC-74	RF0057
gb|AKR18015.1|ARO:3004338|PDC-75	RF0057
gb|AKR18016.1|ARO:3004339|PDC-76	RF0057
gb|AKR18017.1|ARO:3004340|PDC-77	RF0057
gb|AKR18018.1|ARO:3004341|PDC-78	RF0057
gb|AKR18019.1|ARO:3004342|PDC-79	RF0057
gb|AKR18020.1|ARO:3004343|PDC-80	RF0057
gb|AKR18021.1|ARO:3004344|PDC-81	RF0057
gb|AKR18022.1|ARO:3004345|PDC-82	RF0057
gb|AKR18023.1|ARO:3004346|PDC-83	RF0057
gb|AKR18024.1|ARO:3004347|PDC-84	RF0057
gb|AKR18025.1|ARO:3004348|PDC-85	RF0057
gb|AKR18026.1|ARO:3004349|PDC-86	RF0057
gb|AKR18027.1|ARO:3004350|PDC-87	RF0057
gb|AKR18028.1|ARO:3004351|PDC-88	RF0057
gb|AKR18029.1|ARO:3004352|PDC-89	RF0057
gb|AKR18030.1|ARO:3004353|PDC-90	RF0057
gb|AKR18031.1|ARO:3004354|PDC-91	RF0057
gb|AKR18032.1|ARO:3004355|PDC-92	RF0057
gb|AKR18033.1|ARO:3004356|PDC-93	RF0057
gb|BAA23130.1|ARO:3002493|SRT-1	RF0057
gb|CAB46491.1|ARO:3001815|ACC-1	RF0057
gb|CAC04522.1|ARO:3002514|OCH-1	RF0057
gb|CAC17622.1|ARO:3002515|OCH-2	RF0057
gb|CAC17623.1|ARO:3002516|OCH-3	RF0057
gb|CAC17624.1|ARO:3002517|OCH-4	RF0057
gb|CAC17625.1|ARO:3002518|OCH-5	RF0057
gb|CAC17626.1|ARO:3002519|OCH-6	RF0057
gb|CAC17627.1|ARO:3002520|OCH-7	RF0057
gb|CCK86740.1|ARO:3001819|ACC-5	RF0057
gb|BAA28282.1|ARO:3001907|CTX-M-45	RF0059
gb|CAB61635.1|ARO:3004788|FONA-1	RF0059
gb|CAB61637.1|ARO:3004789|FONA-2	RF0059
gb|CAB61639.1|ARO:3004790|FONA-3	RF0059
gb|CAB61641.1|ARO:3004791|FONA-4	RF0059
gb|CAB61643.1|ARO:3004792|FONA-5	RF0059
gb|CAB61645.1|ARO:3004793|FONA-6	RF0059
gb|AAA26742.1|ARO:3001304|ErmS	RF0067
gb|AAA26779.1|ARO:3004652|Erm(O)-lrm	RF0067
gb|AAB51440.1|ARO:3002824|ErmV	RF0067
gb|ABW06859.1|ARO:3000603|Erm(41)	RF0067
gb|ANZ79476.1|ARO:3003908|Erm(47)	RF0067
gb|CAA11706.1|ARO:3001303|ErmO	RF0067
gb|CBY77552.1|ARO:3003106|Erm(42)	RF0067
gb|CCF55073.1|ARO:3003205|Erm(43)	RF0067
gb|CCP44758.1|ARO:3000392|Erm(37)	RF0067
gb|CEJ95855.1|ARO:3004595|erm45	RF0067
gb|CZT31773.1|ARO:3004094|Erm(48)	RF0067
gb|OPG86592.1|ARO:3004626|Erm(49)	RF0067
gb|CCF55073.1|ARO:3003205|Erm(43)	RF0069
gb|CDL65151.1|ARO:3003971|erm(44)	RF0069
gb|CUU67654.1|ARO:3003971|erm(44)	RF0069
gb|AAA22597.1|ARO:3000495|ErmD	RF0071
gb|AAA26742.1|ARO:3001304|ErmS	RF0071
gb|AAA26779.1|ARO:3004652|Erm(O)-lrm	RF0071
gb|AAA88675.1|ARO:3000498|ErmF	RF0071
gb|AAA98096.1|ARO:3000595|ErmT	RF0071
gb|AAA98484.1|ARO:3000596|ErmX	RF0071
gb|AAB51440.1|ARO:3002824|ErmV	RF0071
gb|AAC32026.1|ARO:3002823|ErmH	RF0071
gb|AAC36915.1|ARO:3000593|ErmQ	RF0071
gb|AAC37034.1|ARO:3000522|ErmG	RF0071
gb|AAC69327.1|ARO:3000598|Erm(31)	RF0071
gb|AAC69328.1|ARO:3001265|Erm(30)	RF0071
gb|AAF86219.1|ARO:3000375|ErmB	RF0071
gb|AAK07612.2|ARO:3000604|Erm(35)	RF0071
gb|AAL68827.1|ARO:3000605|Erm(36)	RF0071
gb|AAN86837.2|ARO:3000601|Erm(38)	RF0071
gb|AAP74657.1|ARO:3000600|Erm(34)	RF0071
gb|AAR92235.1|ARO:3000602|Erm(39)	RF0071
gb|AAS76623.1|ARO:3004606|erm(40)	RF0071
gb|AAU93796.1|ARO:3000594|ErmR	RF0071
gb|ABW06859.1|ARO:3000603|Erm(41)	RF0071
gb|AJF36617.1|ARO:3004596|erm(46)	RF0071
gb|ANZ79476.1|ARO:3003908|Erm(47)	RF0071
gb|BAA03402.1|ARO:3001306|ErmW	RF0071
gb|BAB20748.1|ARO:3002825|ErmY	RF0071
gb|CAA11706.1|ARO:3001303|ErmO	RF0071
gb|CAA26964.1|ARO:3000347|ErmA	RF0071
gb|CAA44667.1|ARO:3001305|ErmU	RF0071
gb|CAA66307.2|ARO:3000592|ErmN	RF0071
gb|CAB60001.1|ARO:3000326|ErmE	RF0071
gb|CAC86410.1|ARO:3000599|Erm(33)	RF0071
gb|CAM96571.1|ARO:3004605|ermZ	RF0071
gb|CBY77552.1|ARO:3003106|Erm(42)	RF0071
gb|CCF55073.1|ARO:3003205|Erm(43)	RF0071
