CARD:
Seq_Header	Hmmscan_Family
gb|BAQ22025.1|ARO:3003200|AAC(6')-Ian	Acetyltransf_1	RF0011
gb|AAK63041.1|ARO:3004629|AAC(6')-Im	Acetyltransf_1	RF0011
gb|AAA90937.1|ARO:3004635|AAC(6')-Il	Acetyltransf_1	RF0011
gb|AEA07977.1|ARO:3004641|aacA43	Acetyltransf_1	RF0011
gb|BAN78519.1|ARO:3004638|AAC(6')-Iag	Acetyltransf_1	RF0011
gb|APB03223.1|ARO:3003989|AAC(6')-34	Acetyltransf_1	RF0011
gb|APB03224.1|ARO:3003994|cpaA	Acetyltransf_1	RF0011
gb|AAA88560.1|ARO:3004699|sta	Acetyltransf_1	RF0011
gb|AHH86051.1|ARO:3004063|EdeQ	Acetyltransf_1	RF0011
gb|CAC32082.1|ARO:3002527|AAC(2')-Ie	Acetyltransf_1	RF0011
gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	Acetyltransf_3	RF0012
gb|AAD03493.1|ARO:3002565|AAC(6')-Iu	Acetyltransf_3	RF0012
gb|AAA25680.1|ARO:3002595|AAC(6')-IIb	Acetyltransf_3	RF0012
gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	Acetyltransf_3	RF0012
gb|AAF03531.1|ARO:3002569|AAC(6')-Iy	Acetyltransf_3	RF0012
gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	Acetyltransf_3	RF0012
gb|AAD46626.1|ARO:3002596|AAC(6')-IIc	Acetyltransf_3	RF0012
gb|CAE48335.2|ARO:3002599|AAC(6')-30/AAC(6')-Ib'	Acetyltransf_3	RF0012
gb|BAD10948.2|ARO:3002563|AAC(6')-Isa	Acetyltransf_3	RF0012
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	Acetyltransf_3	RF0012
gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	Acetyltransf_3	RF0012
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	Acetyltransf_3	RF0012
gb|BAD11815.1|ARO:3002593|AAC(6')-Ib-SK	Acetyltransf_3	RF0012
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	Acetyltransf_3	RF0012
gb|CAK55557.1|ARO:3002585|AAC(6')-31	Acetyltransf_3	RF0012
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	Acetyltransf_3	RF0012
gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	Acetyltransf_3	RF0012
gb|AAL20537.1|ARO:3002571|AAC(6')-Iaa	Acetyltransf_3	RF0012
gb|ABR10839.1|ARO:3002586|AAC(6')-32	Acetyltransf_3	RF0012
gb|AAB53445.1|ARO:3002897|SAT-4	Acetyltransf_3	RF0012
gb|CAA91010.1|ARO:3002559|AAC(6')-Ip	Acetyltransf_3	RF0012
gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	Acetyltransf_3	RF0012
gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	Acetyltransf_3	RF0012
gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	Acetyltransf_3	RF0012
gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	Acetyltransf_3	RF0012
gb|BAD12078.1|ARO:3002572|AAC(6')-Iad	Acetyltransf_3	RF0012
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	Acetyltransf_3	RF0012
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	Acetyltransf_3	RF0012
gb|AAL51021.2|ARO:3002598|ANT(3'')-Ii-AAC(6')-IId	Acetyltransf_3	RF0012
gb|BAQ22025.1|ARO:3003200|AAC(6')-Ian	Acetyltransf_3	RF0012
gb|AAK63041.1|ARO:3004629|AAC(6')-Im	Acetyltransf_3	RF0012
gb|BAM16262.1|ARO:3004628|AAC(2')-IIa	Acetyltransf_3	RF0012
gb|APB03223.1|ARO:3003989|AAC(6')-34	Acetyltransf_3	RF0012
gb|APB03224.1|ARO:3003994|cpaA	Acetyltransf_3	RF0012
gb|AHH86051.1|ARO:3004063|EdeQ	Acetyltransf_3	RF0012
gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	Acetyltransf_4	RF0013
gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	Acetyltransf_4	RF0013
gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	Acetyltransf_4	RF0013
gb|AAD46626.1|ARO:3002596|AAC(6')-IIc	Acetyltransf_4	RF0013
gb|CAE48335.2|ARO:3002599|AAC(6')-30/AAC(6')-Ib'	Acetyltransf_4	RF0013
gb|BAD10948.2|ARO:3002563|AAC(6')-Isa	Acetyltransf_4	RF0013
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	Acetyltransf_4	RF0013
gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	Acetyltransf_4	RF0013
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	Acetyltransf_4	RF0013
gb|BAD11815.1|ARO:3002593|AAC(6')-Ib-SK	Acetyltransf_4	RF0013
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	Acetyltransf_4	RF0013
gb|CAK55557.1|ARO:3002585|AAC(6')-31	Acetyltransf_4	RF0013
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	Acetyltransf_4	RF0013
gb|BAD95494.1|ARO:3002895|SAT-1	Acetyltransf_4	RF0013
gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	Acetyltransf_4	RF0013
gb|ABR10839.1|ARO:3002586|AAC(6')-32	Acetyltransf_4	RF0013
gb|AAB53445.1|ARO:3002897|SAT-4	Acetyltransf_4	RF0013
gb|CAA91010.1|ARO:3002559|AAC(6')-Ip	Acetyltransf_4	RF0013
gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	Acetyltransf_4	RF0013
gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	Acetyltransf_4	RF0013
gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	Acetyltransf_4	RF0013
gb|BAD12078.1|ARO:3002572|AAC(6')-Iad	Acetyltransf_4	RF0013
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	Acetyltransf_4	RF0013
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	Acetyltransf_4	RF0013
gb|AAL51021.2|ARO:3002598|ANT(3'')-Ii-AAC(6')-IId	Acetyltransf_4	RF0013
gb|BAM46120.1|ARO:3003677|AAC(6')-Iaj	Acetyltransf_4	RF0013
gb|BAQ22025.1|ARO:3003200|AAC(6')-Ian	Acetyltransf_4	RF0013
gb|AAK63041.1|ARO:3004629|AAC(6')-Im	Acetyltransf_4	RF0013
gb|APB03223.1|ARO:3003989|AAC(6')-34	Acetyltransf_4	RF0013
gb|AAA88560.1|ARO:3004699|sta	Acetyltransf_4	RF0013
gb|AHH86051.1|ARO:3004063|EdeQ	Acetyltransf_4	RF0013
gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	Acetyltransf_7	RF0014
gb|AAD03493.1|ARO:3002565|AAC(6')-Iu	Acetyltransf_7	RF0014
gb|BAH66386.1|ARO:3002574|AAC(6')-Iaf	Acetyltransf_7	RF0014
gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	Acetyltransf_7	RF0014
gb|AAA98298.1|ARO:3002545|AAC(6')-Ia	Acetyltransf_7	RF0014
gb|CAA88265.1|ARO:3002898|SAT-3	Acetyltransf_7	RF0014
gb|BAD14386.1|ARO:3002573|AAC(6')-Iae	Acetyltransf_7	RF0014
gb|AAC44793.1|ARO:3002524|AAC(2')-Ib	Acetyltransf_7	RF0014
gb|CAE48335.2|ARO:3002599|AAC(6')-30/AAC(6')-Ib'	Acetyltransf_7	RF0014
gb|AEZ05106.1|ARO:3002587|AAC(6')-33	Acetyltransf_7	RF0014
gb|BAD10948.2|ARO:3002563|AAC(6')-Isa	Acetyltransf_7	RF0014
gb|CAD53575.1|ARO:3002531|AAC(3)-Ic	Acetyltransf_7	RF0014
gb|AAB63533.1|ARO:3002556|AAC(6')-Ii	Acetyltransf_7	RF0014
gb|CCP42991.1|ARO:3002525|AAC(2')-Ic	Acetyltransf_7	RF0014
gb|AAD03495.1|ARO:3002567|AAC(6')-Iw	Acetyltransf_7	RF0014
gb|BAD95494.1|ARO:3002895|SAT-1	Acetyltransf_7	RF0014
gb|AAC25500.1|ARO:3002560|AAC(6')-Iq	Acetyltransf_7	RF0014
gb|AAP43642.1|ARO:3002588|AAC(6')-I30	Acetyltransf_7	RF0014
gb|ACI28880.1|ARO:3002575|AAC(6')-Iai	Acetyltransf_7	RF0014
gb|AAB53445.1|ARO:3002897|SAT-4	Acetyltransf_7	RF0014
gb|CAA91010.1|ARO:3002559|AAC(6')-Ip	Acetyltransf_7	RF0014
gb|AAA03550.1|ARO:3002523|AAC(2')-Ia	Acetyltransf_7	RF0014
gb|BAD12078.1|ARO:3002572|AAC(6')-Iad	Acetyltransf_7	RF0014
gb|AAD03496.1|ARO:3002568|AAC(6')-Ix	Acetyltransf_7	RF0014
gb|AAA87229.1|ARO:3002558|AAC(6')-Ik	Acetyltransf_7	RF0014
gb|AAD52985.1|ARO:3002570|AAC(6')-Iz	Acetyltransf_7	RF0014
gb|BAM46120.1|ARO:3003677|AAC(6')-Iaj	Acetyltransf_7	RF0014
gb|AEA07977.1|ARO:3004641|aacA43	Acetyltransf_7	RF0014
gb|APB03223.1|ARO:3003989|AAC(6')-34	Acetyltransf_7	RF0014
gb|AAA88560.1|ARO:3004699|sta	Acetyltransf_7	RF0014
gb|AHH86051.1|ARO:3004063|EdeQ	Acetyltransf_7	RF0014
gb|CAC32082.1|ARO:3002527|AAC(2')-Ie	Acetyltransf_7	RF0014
gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	Acetyltransf_8	RF0015
gb|AAA25680.1|ARO:3002595|AAC(6')-IIb	Acetyltransf_8	RF0015
gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	Acetyltransf_8	RF0015
gb|AAF03531.1|ARO:3002569|AAC(6')-Iy	Acetyltransf_8	RF0015
gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	Acetyltransf_8	RF0015
gb|AAD46626.1|ARO:3002596|AAC(6')-IIc	Acetyltransf_8	RF0015
gb|CAE48335.2|ARO:3002599|AAC(6')-30/AAC(6')-Ib'	Acetyltransf_8	RF0015
gb|BAD10948.2|ARO:3002563|AAC(6')-Isa	Acetyltransf_8	RF0015
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	Acetyltransf_8	RF0015
gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	Acetyltransf_8	RF0015
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	Acetyltransf_8	RF0015
gb|BAD11815.1|ARO:3002593|AAC(6')-Ib-SK	Acetyltransf_8	RF0015
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	Acetyltransf_8	RF0015
gb|CAK55557.1|ARO:3002585|AAC(6')-31	Acetyltransf_8	RF0015
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	Acetyltransf_8	RF0015
gb|AAD03495.1|ARO:3002567|AAC(6')-Iw	Acetyltransf_8	RF0015
gb|AAA26549.1|ARO:3002549|AAC(6')-Ic	Acetyltransf_8	RF0015
gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	Acetyltransf_8	RF0015
gb|AAL20537.1|ARO:3002571|AAC(6')-Iaa	Acetyltransf_8	RF0015
gb|ABR10839.1|ARO:3002586|AAC(6')-32	Acetyltransf_8	RF0015
gb|CAA39038.1|ARO:3002553|AAC(6')-If	Acetyltransf_8	RF0015
gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	Acetyltransf_8	RF0015
gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	Acetyltransf_8	RF0015
gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	Acetyltransf_8	RF0015
gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	Acetyltransf_8	RF0015
gb|BAO21229.1|ARO:3003199|AAC(6')-Iak	Acetyltransf_8	RF0015
gb|BAD12078.1|ARO:3002572|AAC(6')-Iad	Acetyltransf_8	RF0015
gb|AAA87229.1|ARO:3002558|AAC(6')-Ik	Acetyltransf_8	RF0015
gb|AAD52985.1|ARO:3002570|AAC(6')-Iz	Acetyltransf_8	RF0015
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	Acetyltransf_8	RF0015
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	Acetyltransf_8	RF0015
gb|AAL51021.2|ARO:3002598|ANT(3'')-Ii-AAC(6')-IId	Acetyltransf_8	RF0015
gb|BAQ22025.1|ARO:3003200|AAC(6')-Ian	Acetyltransf_8	RF0015
gb|AAK63041.1|ARO:3004629|AAC(6')-Im	Acetyltransf_8	RF0015
gb|APB03223.1|ARO:3003989|AAC(6')-34	Acetyltransf_8	RF0015
gb|AAD03493.1|ARO:3002565|AAC(6')-Iu	Acetyltransf_9	RF0016
gb|AAK26252.2|ARO:3002583|AAC(6')-29a	Acetyltransf_9	RF0016
gb|AAD03491.1|ARO:3002562|AAC(6')-Is	Acetyltransf_9	RF0016
gb|ACI31326.1|ARO:3002584|AAC(6')-29b	Acetyltransf_9	RF0016
gb|AAC41391.1|ARO:3002555|AAC(6')-Ih	Acetyltransf_9	RF0016
gb|AAC41392.1|ARO:3002557|AAC(6')-Ij	Acetyltransf_9	RF0016
gb|AAR21614.1|ARO:3002529|AAC(3)-Id	Acetyltransf_9	RF0016
gb|AAC44793.1|ARO:3002524|AAC(2')-Ib	Acetyltransf_9	RF0016
gb|CAE48335.2|ARO:3002599|AAC(6')-30/AAC(6')-Ib'	Acetyltransf_9	RF0016
gb|AAA21889.1|ARO:3002554|AAC(6')-Ig	Acetyltransf_9	RF0016
gb|CCP42991.1|ARO:3002525|AAC(2')-Ic	Acetyltransf_9	RF0016
gb|AAD03495.1|ARO:3002567|AAC(6')-Iw	Acetyltransf_9	RF0016
gb|AAB41701.1|ARO:3002526|AAC(2')-Id	Acetyltransf_9	RF0016
gb|AAD03492.1|ARO:3002564|AAC(6')-It	Acetyltransf_9	RF0016
gb|AAA03550.1|ARO:3002523|AAC(2')-Ia	Acetyltransf_9	RF0016
gb|AAD03496.1|ARO:3002568|AAC(6')-Ix	Acetyltransf_9	RF0016
gb|AAA87229.1|ARO:3002558|AAC(6')-Ik	Acetyltransf_9	RF0016
gb|AAD52985.1|ARO:3002570|AAC(6')-Iz	Acetyltransf_9	RF0016
gb|CAC32082.1|ARO:3002527|AAC(2')-Ie	Acetyltransf_9	RF0016
gb|AAC76539.1|ARO:3000796|mdtF	ACR_tran	RF0017
gb|CAJ77856.1|ARO:3000777|adeF	ACR_tran	RF0017
gb|CAH35802.1|ARO:3002983|amrB	ACR_tran	RF0017
gb|AAX14802.1|ARO:3000781|adeJ	ACR_tran	RF0017
gb|ABS43151.1|ARO:3000784|cmeB	ACR_tran	RF0017
gb|AAC75136.1|ARO:3000793|mdtB	ACR_tran	RF0017
gb|AAL14440.1|ARO:3000775|adeB	ACR_tran	RF0017
gb|CAC14595.1|ARO:3003056|smeE	ACR_tran	RF0017
gb|AAC73564.1|ARO:3000216|acrB	ACR_tran	RF0017
gb|AAB58161.1|ARO:3003010|ceoB	ACR_tran	RF0017
gb|AAC75137.1|ARO:3000794|mdtC	ACR_tran	RF0017
gb|AAL19305.1|ARO:3000790|mdsB	ACR_tran	RF0017
gb|BAA16344.1|ARO:3000491|acrD	ACR_tran	RF0017
gb|AAC76298.1|ARO:3000502|acrF	ACR_tran	RF0017
gb|AAB41957.1|ARO:3000801|MexD	ACR_tran	RF0017
gb|NP_252896.1|ARO:3000808|mexI	ACR_tran	RF0017
gb|BAA34300.1|ARO:3003033|mexY	ACR_tran	RF0017
gb|AAF42062.1|ARO:3000811|mtrD	ACR_tran	RF0017
gb|AAA74437.1|ARO:3000378|MexB	ACR_tran	RF0017
gb|AAD51345.1|ARO:3003052|smeB	ACR_tran	RF0017
gb|AAG03548.1|ARO:3003681|TriC	ACR_tran	RF0017
gb|BAE06008.1|ARO:3003699|mexQ	ACR_tran	RF0017
gb|AAG07064.1|ARO:3003693|mexK	ACR_tran	RF0017
gb|AAG07763.1|ARO:3003031|mexW	ACR_tran	RF0017
gb|BAE06006.1|ARO:3003705|mexN	ACR_tran	RF0017
gb|AAP43110.2|ARO:3003923|oqxB	ACR_tran	RF0017
gb|AAG05882.1|ARO:3000804|MexF	ACR_tran	RF0017
gb|AAG05915.1|ARO:3004074|MuxB	ACR_tran	RF0017
gb|AAG05914|ARO:3004075|MuxC	ACR_tran	RF0017
gb|CAH14033.1|ARO:3004100|LpeB	ACR_tran	RF0017
gb|EGP45231.1|ARO:3004144|AxyY	ACR_tran	RF0017
gb|ACJ41739.1|ARO:3000780|adeI	adeA-adeI	RF0019
