NCBI:
Seq_Header	Hmmscan_Family
1028111206|WP_063865418.1|1|1|oqxB13|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB13	ACR_tran	RF0017
1028111218|WP_063865430.1|1|1|oqxB16|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB16	ACR_tran	RF0017
1028111228|WP_063865440.1|1|1|oqxB18|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB18	ACR_tran	RF0017
1028111266|WP_063865478.1|1|1|oqxB22|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB22	ACR_tran	RF0017
1028111271|WP_063865483.1|1|1|oqxB23|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB23	ACR_tran	RF0017
1028111279|WP_063865491.1|1|1|oqxB24|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB24	ACR_tran	RF0017
1028111297|WP_063865509.1|1|1|oqxB26|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB26	ACR_tran	RF0017
1028111307|WP_063865519.1|1|1|oqxB28|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB28	ACR_tran	RF0017
1028111319|WP_063865531.1|1|1|oqxB3|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB3	ACR_tran	RF0017
1028111325|WP_063865537.1|1|1|oqxB30|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB30	ACR_tran	RF0017
1028111332|WP_063865544.1|1|1|oqxB31|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB31	ACR_tran	RF0017
1028111340|WP_063865552.1|1|1|oqxB4|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB4	ACR_tran	RF0017
1028111357|WP_063865569.1|1|1|oqxB7|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB7	ACR_tran	RF0017
1028111365|WP_063865577.1|1|1|oqxB8|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB8	ACR_tran	RF0017
156713287|BAF76384.1|1|1|ttgB|ttgB|efflux|multidrug_efflux_RND_transporter_permease_subunit_TtgB	ACR_tran	RF0017
16418852|AAL19305.1|1|1|mdsB|mdsB|efflux|multidrug_efflux_RND_transporter_permease_subunit_MdsB	ACR_tran	RF0017
225692171|ACO06752.1|1|1|emhB|emhB|efflux|efflux_RND_transporter_permease_subunit_EmhB	ACR_tran	RF0017
23347078|AAN29241.1|1|1|bepE|bepE|efflux|multidrug_efflux_RND_transporter_permease_subunit_BepE	ACR_tran	RF0017
23463681|AAN33534.1|1|1|bepG|bepG|efflux|multidrug_efflux_RND_transporter_permease_subunit_BepG	ACR_tran	RF0017
2605914|AAD12176.1|1|1|srpB|srpB|efflux|solvent_efflux_RND_transporter_permease_subunit_SrpB	ACR_tran	RF0017
298682348|ADI95409.1|1|1|ttgE|ttgE|efflux|multidrug_efflux_RND_transporter_permease_subunit_TtgE	ACR_tran	RF0017
31376270|BAC77251.1|1|1|sdeY|sdeY|efflux|multidrug_efflux_RND_transporter_permease_subunit_SdeY	ACR_tran	RF0017
3319233|AAC38671.1|1|1|ttgB|ttgB|efflux|multidrug_efflux_RND_transporter_permease_subunit_TtgB	ACR_tran	RF0017
4206630|AAD11749.1|1|1|silA|silA||Cu(+)/Ag(+)_efflux_RND_transporter_permease_subunit_SilA	ACR_tran	RF0017
4321266|AAD15664.1|1|1|tbtB|tbtB|efflux|multidrug_efflux_RND_transporter_permease_subunit_TbtB	ACR_tran	RF0017
446270079|WP_000347934.1|1|1|oqxB|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB	ACR_tran	RF0017
45170565|AAO18187.2|1|1|sdeB|sdeB|efflux|multidrug_efflux_RND_transporter_permease_subunit_SdeB	ACR_tran	RF0017
490251353|WP_004149399.1|1|1|oqxB19|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB19	ACR_tran	RF0017
490278840|WP_004174783.1|1|1|oqxB5|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB5	ACR_tran	RF0017
491038313|WP_004899982.1|1|1|oqxB17|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB17	ACR_tran	RF0017
502732428|WP_012967412.1|1|1|oqxB9|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB9	ACR_tran	RF0017
515514348|WP_016947602.1|1|1|oqxB25|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB25	ACR_tran	RF0017
51832760|AAN38824.2|1|1|adeE|adeE|efflux|multidrug_efflux_RND_transporter_permease_subunit_AdeE	ACR_tran	RF0017
518534610|WP_019704817.1|1|1|oqxB14|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB14	ACR_tran	RF0017
544900895|WP_021312368.1|1|1|oqxB20|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB20	ACR_tran	RF0017
556471400|WP_023323140.1|1|1|oqxB15|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB15	ACR_tran	RF0017
556494927|WP_023342632.1|1|1|oqxB32|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB32	ACR_tran	RF0017
659675639|WP_029884393.1|1|1|oqxB6|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB6	ACR_tran	RF0017
695273509|WP_032495443.1|1|1|oqxB2|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB2	ACR_tran	RF0017
740650179|WP_038435619.1|1|1|oqxB21|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB21	ACR_tran	RF0017
749600467|WP_040224644.1|1|1|oqxB27|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB27	ACR_tran	RF0017
93358983|ABF13069.1|1|1|cnrA|cnrA||nickel_efflux_RND_transporter_permease_subunit_CnrA	ACR_tran	RF0017
1028081053|WP_063840436.1|1|1|aadA21|aadA21|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA21	ANT9	RF0030
1028081059|WP_063840442.1|1|1|aadA3|aadA3|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA3	ANT9	RF0030
1028081072|WP_063840455.1|1|1|aadA7|aadA7|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA7	ANT9	RF0030
1028081073|WP_063840456.1|1|1|aadA7|aadA7|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA7	ANT9	RF0030
1028081074|WP_063840457.1|1|1|aadA8|aadA8|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	ANT9	RF0030
1028081075|WP_063840458.1|1|1|aadA9|aadA9|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA9	ANT9	RF0030
1028081076|WP_063840459.1|1|1|aadA9|aadA9|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA9	ANT9	RF0030
1028101845|WP_063857693.1|1|1|aadA8|aadA8|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	ANT9	RF0030
1080153676|WP_070342356.1|1|1|aadA7|aadA7|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA7	ANT9	RF0030
1105502115|WP_071846267.1|1|1|aadA11|aadA11|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA11	ANT9	RF0030
1105502117|WP_071846269.1|1|1|aadA13|aadA13|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA13	ANT9	RF0030
1105502172|WP_071846323.1|1|1|aadA8|aadA8|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	ANT9	RF0030
1105502173|WP_071846324.1|1|1|aadA8|aadA8|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	ANT9	RF0030
1105502174|WP_071846325.1|1|1|aadA8|aadA8|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	ANT9	RF0030
1105502175|WP_071846326.1|1|1|aadA7|aadA7|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA7	ANT9	RF0030
1105502177|WP_071846328.1|1|1|aadA9|aadA9|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA9	ANT9	RF0030
1105502194|WP_071846344.1|1|1|aadA9|aadA9|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA9	ANT9	RF0030
1105502196|WP_071846346.1|1|1|aadA3|aadA3|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA3	ANT9	RF0030
485804068|WP_001424636.1|1|1|aadA13|aadA13|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA13	ANT9	RF0030
485817127|WP_001436322.1|1|1|aadA7|aadA7|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA7	ANT9	RF0030
498493509|WP_010794258.1|1|1|aadA7|aadA7|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA7	ANT9	RF0030
499300892|WP_010991842.1|1|1|aadA9|aadA9|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA9	ANT9	RF0030
499425585|WP_011113049.1|1|1|aadA25|aadA25|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA25	ANT9	RF0030
501382614|WP_012414180.1|1|1|aadA13|aadA13|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA13	ANT9	RF0030
504091840|WP_014325834.1|1|1|aadA25|aadA25|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA25	ANT9	RF0030
585316628|WP_024198294.1|1|1|aadA22|aadA22|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA22	ANT9	RF0030
690411156|WP_031942898.1|1|1|aadA1|aadA1|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	ANT9	RF0030
695269287|WP_032491464.1|1|1|aadA8|aadA8|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	ANT9	RF0030
695269647|WP_032491824.1|1|1|aadA22|aadA22|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA22	ANT9	RF0030
695273445|WP_032495379.1|1|1|aadA11|aadA11|nucleotidyltransferase|ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA11	ANT9	RF0030
1028081340|WP_063840674.1|1|1|aph(2'')-IIa|aph(2'')-IIa|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-IIa	APH	RF0032
1028081341|WP_063840675.1|1|1|aph(2'')-If|aph(2'')-If|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-If	APH	RF0032
1028097157|WP_063853854.1|1|1|mph(A)|mph(A)|phosphotransferase|Mph(A)_family_macrolide_2'-phosphotransferase	APH	RF0032
1028097169|WP_063853866.1|1|1|mph(A)|mph(A)|phosphotransferase|Mph(A)_family_macrolide_2'-phosphotransferase	APH	RF0032
1028097184|WP_063853881.1|1|1|mph(C)|mph(C)|phosphotransferase|Mph(C)_family_macrolide_2'-phosphotransferase	APH	RF0032
1028097195|WP_063853892.1|1|1|mph(C)|mph(C)|phosphotransferase|Mph(C)_family_macrolide_2'-phosphotransferase	APH	RF0032
1028097434|WP_063854131.1|1|1|mph(C)|mph(C)|phosphotransferase|Mph(C)_family_macrolide_2'-phosphotransferase	APH	RF0032
1028097440|WP_063854137.1|1|1|mph(C)|mph(C)|phosphotransferase|Mph(C)_family_macrolide_2'-phosphotransferase	APH	RF0032
1028097453|WP_063854150.1|1|1|mph(C)|mph(C)|phosphotransferase|Mph(C)_family_macrolide_2'-phosphotransferase	APH	RF0032
1199615340|WP_087349244.1|1|1|mphJ|mphJ|phosphotransferase|macrolide_2'-phosphotransferase_MphJ	APH	RF0032
445953162|WP_000031017.1|1|1|mph(B)|mph(B)|phosphotransferase|Mph(B)_family_macrolide_2'-phosphotransferase	APH	RF0032
446039051|WP_000116906.1|1|1|aph(6)-Ic|aph(6)-Ic|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(6)-Ic	APH	RF0032
446077237|WP_000155092.1|1|1|mph(E)|mph(E)|phosphotransferase|Mph(E)_family_macrolide_2'-phosphotransferase	APH	RF0032
446118842|WP_000196697.1|1|1|mph(C)|mph(C)|phosphotransferase|Mph(C)_family_macrolide_2'-phosphotransferase	APH	RF0032
446141536|WP_000219391.1|1|1|mph(A)|mph(A)|phosphotransferase|Mph(A)_family_macrolide_2'-phosphotransferase	APH	RF0032
487974801|WP_002047670.1|1|1|mph(B)|mph(B)|phosphotransferase|Mph(B)_family_macrolide_2'-phosphotransferase	APH	RF0032
504091841|WP_014325835.1|1|1|mph(E)|mph(E)|phosphotransferase|Mph(E)_family_macrolide_2'-phosphotransferase	APH	RF0032
504199701|WP_014386803.1|1|1|mph(G)|mph(G)|phosphotransferase|Mph(G)_family_macrolide_2'-phosphotransferase	APH	RF0032
506987367|WP_016078774.1|1|1|mph(B)|mph(B)|phosphotransferase|Mph(B)_family_macrolide_2'-phosphotransferase	APH	RF0032
543996038|WP_021034342.1|1|1|aph(2'')-Ig|aph(2'')-Ig|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-Ig	APH	RF0032
544848437|WP_021263608.1|1|1|mph(F)|mph(F)|phosphotransferase|Mph(F)_family_macrolide_2'-phosphotransferase	APH	RF0032
545014760|WP_021401024.1|1|1|aph(2'')-IVa|aph(2'')-IVa|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-IVa	APH	RF0032
545049956|WP_021424053.1|1|1|aph(2'')-If|aph(2'')-If|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-If	APH	RF0032
663241056|WP_030275963.1|1|1|vph|vph|phosphotransferase|viomycin_phosphotransferase	APH	RF0032
695269182|WP_032491359.1|1|1|aph(2'')-Ie|aph(2'')-Ie|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-Ie	APH	RF0032
949621775|WP_057038954.1|1|1|aph(2'')-IIa|aph(2'')-IIa|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-IIa	APH	RF0032
949781494|WP_057098416.1|1|1|aph(2'')-Ih|aph(2'')-Ih|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-Ih	APH	RF0032
1028081341|WP_063840675.1|1|1|aph(2'')-If|aph(2'')-If|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-If	APH3	RF0033
545049956|WP_021424053.1|1|1|aph(2'')-If|aph(2'')-If|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-If	APH3	RF0033
949781494|WP_057098416.1|1|1|aph(2'')-Ih|aph(2'')-Ih|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2'')-Ih	APH3	RF0033
1028082930|WP_063842181.1|1|1|aph(6)-Ia|aph(6)-Ia|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(6)-Ia	APH6	RF0034
446039051|WP_000116906.1|1|1|aph(6)-Ic|aph(6)-Ic|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(6)-Ic	APH6	RF0034
490068061|WP_003970239.1|1|1|aph(6)-Ia|aph(6)-Ia|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(6)-Ia	APH6	RF0034
918359395|WP_052413554.1|1|1|aph(6)-Ib|aph(6)-Ib|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(6)-Ib	APH6	RF0034
1028110375|WP_063864745.1|1|1|blaSPG-1|blaSPG-1_fam|hydrolase|subclass_B3_metallo-beta-lactamase_SPG-1	BJP	RF0040
966426418|WP_058468956.1|1|1|blaFEZ-1|blaFEZ|hydrolase|subclass_B3_metallo-beta-lactamase_FEZ-1	BJP	RF0040
1028105030|WP_063860216.1|1|1|blaEBR-1|blaEBR|hydrolase|subclass_B1_metallo-beta-lactamase_EBR-1	BlaB	RF0041
490302154|WP_004197546.1|1|1|blaSCO-1|blaSCO|hydrolase|class_A_beta-lactamase_SCO-1	CARB-PSE	RF0044
499589388|WP_011270171.1|1|1|bla-A|bla-A|hydrolase|class_A_beta-lactamase	CARB-PSE	RF0044
827451024|WP_047211550.1|1|1|vat(B)|vat(B)|acetyltransferase|streptogramin_A_O-acetyltransferase_Vat(B)	Chlor_Acetyltrans_CAT	RF0050
1028104910|WP_063860096.1|1|1|blaDHA-10|blaDHA|hydrolase|class_C_beta-lactamase_DHA-10	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
1028104911|WP_063860097.1|1|1|blaDHA-14|blaDHA|hydrolase|class_C_beta-lactamase_DHA-14	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
1028104916|WP_063860102.1|1|1|blaDHA-19|blaDHA|hydrolase|class_C_beta-lactamase_DHA-19	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
1028104922|WP_063860108.1|1|1|blaDHA-23|blaDHA|hydrolase|class_C_beta-lactamase_DHA-23	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
1270499412|WP_099156042.1|1|1|blaAQU-1|blaAQU|hydrolase|class_C_beta-lactamase_AQU-1	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
1391852882|WP_109545067.1|1|1|blaDHA-27|blaDHA|hydrolase|class_C_beta-lactamase_DHA-27	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
1391852883|WP_109545068.1|1|1|blaDHA-26|blaDHA|hydrolase|class_C_beta-lactamase_DHA-26	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
1559612971|WP_128268236.1|1|1|blaDHA-28|blaDHA|hydrolase|class_C_beta-lactamase_DHA-28	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
490360692|WP_004240455.1|1|1|blaDHA-13|blaDHA|hydrolase|class_C_beta-lactamase_DHA-13	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
640728908|WP_025151790.1|1|1|blaDHA-12|blaDHA|hydrolase|class_C_beta-lactamase_DHA-12	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
754045620|WP_041692555.1|1|1|bla-C|bla-C|hydrolase|class_C_beta-lactamase	CMY-LAT-MOX-ACT-MIR-FOX	RF0057
506423864|WP_015943583.1|1|1|vanI|vanI|re-structuring_of_the_cell_wall|D-alanine--(R)-lactate_ligase_VanI	Dala_Dala_lig_C	RF0060
517010483|WP_018211347.1|1|1|vanI|vanI|re-structuring_of_the_cell_wall|D-alanine--(R)-lactate_ligase_VanI	Dala_Dala_lig_C	RF0060
506423864|WP_015943583.1|1|1|vanI|vanI|re-structuring_of_the_cell_wall|D-alanine--(R)-lactate_ligase_VanI	Dala_Dala_lig_N	RF0061
517010483|WP_018211347.1|1|1|vanI|vanI|re-structuring_of_the_cell_wall|D-alanine--(R)-lactate_ligase_VanI	Dala_Dala_lig_N	RF0061
1027667609|WP_063610930.1|1|1|blaEC-15|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-15	DHA	RF0062
1028083606|WP_063842627.1|1|1|blaEC|blaEC|hydrolase|BlaEC_family_class_C_beta-lactamase	DHA	RF0062
1028105042|WP_063860228.1|1|1|blaEC-13|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-13	DHA	RF0062
1028105047|WP_063860233.1|1|1|blaEC-14|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-14	DHA	RF0062
1028105063|WP_063860248.1|1|1|blaEC-16|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-16	DHA	RF0062
1028105071|WP_063860256.1|1|1|blaEC-18|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-18	DHA	RF0062
1028105078|WP_063860263.1|1|1|blaEC-19|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-19	DHA	RF0062
1028105301|WP_063860454.1|1|1|blaEC-8|blaEC|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_EC-8	DHA	RF0062
485703310|WP_001336292.1|1|1|blaEC|blaEC|hydrolase|BlaEC_family_class_C_beta-lactamase	DHA	RF0062
485828396|WP_001443153.1|1|1|blaEC-5|blaEC|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_EC-5	DHA	RF0062
485860783|WP_001460207.1|1|1|blaEC|blaEC|hydrolase|BlaEC_family_class_C_beta-lactamase	DHA	RF0062
446545430|WP_000622776.1|1|1|qacA|qacA|efflux|quaternary_ammonium_compound_efflux_MFS_transporter_QacA	emrB	RF0065
505398864|WP_015585966.1|1|1|fexA|fexA|efflux|chloramphenicol/florfenicol_efflux_MFS_transporter_FexA	emrB	RF0065
670516706|WP_031464190.1|1|1|qacA|qacA|efflux|quaternary_ammonium_compound_efflux_MFS_transporter_QacA	emrB	RF0065
695269399|WP_032491576.1|1|1|fexA|fexA|efflux|chloramphenicol/florfenicol_efflux_MFS_transporter_FexA	emrB	RF0065
695269812|WP_032491881.1|1|1|fexA|fexA|efflux|chloramphenicol/florfenicol_efflux_MFS_transporter_FexA	emrB	RF0065
88759144|BAE79899.1|1|1|smfY|smfY||multidrug_efflux_MFS_transporter_SmfY	emrB	RF0065
918359733|WP_052413892.1|1|1|tcmA|tcmA||tetracenomycin_C_efflux_MFS_transporter	emrB	RF0065
