gb|13384-14226	MB-RF037|MB-RF093|MB-RF099
gb|AAC73565.1|ARO:3004043|Escherichia	MB-RF006|MB-RF086|MB-RF072|MB-RF081|MB-RF108
gb|AAC73788.1|ARO:3003841|kdpE	MB-RF022|MB-RF060
gb|AAC74000.1|ARO:3003950|msbA	MB-RF006|MB-RF088|MB-RF086|MB-RF108
gb|AAC74149.2|ARO:3001216|mdtH	MB-RF086|MB-RF142|MB-RF145
gb|AAC75135.2|ARO:3000792|mdtA	MB-RF006|MB-RF072|MB-RF086|MB-RF108
gb|AAC75136.1|ARO:3000793|mdtB	MB-RF006|MB-RF072|MB-RF085|MB-RF086|MB-RF108
gb|AAC75137.1|ARO:3000794|mdtC	MB-RF006|MB-RF072|MB-RF085|MB-RF086|MB-RF108
gb|AAC75271.1|ARO:3003952|yojI	MB-RF006
gb|AAC75429.1|ARO:3000833|evgS	MB-RF060|MB-RF107
gb|AAC75731.1|ARO:3000516|emrR	MB-RF060
gb|AAC75733.1|ARO:3000074|emrB	MB-RF006|MB-RF010|MB-RF054|MB-RF086|MB-RF108|MB-RF145
gb|AAC76296.1|ARO:3000656|acrS	MB-RF060|MB-RF107|MB-RF108
gb|AAC76297.1|ARO:3000499|acrE	MB-RF006|MB-RF072|MB-RF081|MB-RF086|MB-RF108
gb|AAC76298.1|ARO:3000502|acrF	MB-RF006|MB-RF008|MB-RF072|MB-RF086|MB-RF108
gb|AAC76539.1|ARO:3000796|mdtF	MB-RF006|MB-RF008|MB-RF072|MB-RF086|MB-RF108
gb|AAC77293.1|ARO:3001214|mdtM	MB-RF086|MB-RF142|MB-RF145
gb|AAC98092.2|ARO:3001075|SHV-16	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|AAD02245.1|ARO:3001414|OXA-19	MB-RF037|MB-RF093|MB-RF094
gb|AAD03490.1|ARO:3002561|AAC(6')-Ir	MB-RF004|MB-RF011
gb|AAD03491.1|ARO:3002562|AAC(6')-Is	MB-RF004|MB-RF011
gb|AAD03492.1|ARO:3002564|AAC(6')-It	MB-RF004|MB-RF011
gb|AAD03493.1|ARO:3002565|AAC(6')-Iu	MB-RF004|MB-RF011
gb|AAD03494.1|ARO:3002566|AAC(6')-Iv	MB-RF004|MB-RF011
gb|AAD03495.1|ARO:3002567|AAC(6')-Iw	MB-RF004|MB-RF011
gb|AAD03496.1|ARO:3002568|AAC(6')-Ix	MB-RF004|MB-RF011
gb|AAD04032.1|ARO:3002892|otr(B)	MB-RF086|MB-RF142|MB-RF145
gb|AAD08227.1|ARO:3003964|hp1181	MB-RF086|MB-RF142|MB-RF145
gb|AAD09860.1|ARO:3000561|tet(30)	MB-RF086|MB-RF142|MB-RF129
gb|AAD12162.1|ARO:3001299|tlrB	MB-RF060|MB-RF109
gb|AAD12233.1|ARO:3001417|OXA-22	MB-RF037|MB-RF093|MB-RF096
gb|AAD12753.1|ARO:3000177|tet(J)	MB-RF086|MB-RF134|MB-RF136|MB-RF142
gb|AAD19217.1|ARO:3002245|CARB-6	MB-RF030|MB-RF034
gb|AAD20273.1|ARO:3002256|IND-1	MB-RF035|MB-RF065|MB-RF123
gb|AAD22144.1|ARO:3002698|cmlB	MB-RF086|MB-RF142|MB-RF145
gb|AAD22403.1|ARO:3002970|vanTC	MB-RF154
gb|AAD22538.1|ARO:3000922|TEM-53	MB-RF034|MB-RF127
gb|AAD22539.1|ARO:3000923|TEM-54	MB-RF034|MB-RF127
gb|AAD22636.1|ARO:3002166|MIR-1	MB-RF038|MB-RF043|MB-RF044|MB-RF038|MB-RF044|MB-RF045|MB-RF038|MB-RF038|MB-RF045|MB-RF038|MB-RF044|MB-RF036
gb|AAD23513.1|ARO:3003002|CfxA2	MB-RF033|MB-RF034
gb|AAD25063.1|ARO:3000183|tet(Z)	MB-RF086|MB-RF142
gb|AAD25538.1|ARO:3000174|tet(G)	MB-RF086|MB-RF086|MB-RF129|MB-RF131|MB-RF142|MB-RF131|MB-RF142|MB-RF129
gb|AAD33116.2|ARO:3000934|TEM-67	MB-RF034|MB-RF127
gb|AAD37403.1|ARO:3003202|TLA-1	MB-RF034|MB-RF159
gb|AAD37413.1|ARO:3001060|SHV-2	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAD43815.1|ARO:3001072|SHV-13	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAD45935.1|ARO:3000928|TEM-59	MB-RF034|MB-RF127
gb|AAD46626.1|ARO:3002596|AAC(6')-IIc	MB-RF004|MB-RF005|MB-RF011|MB-RF004|MB-RF011
gb|AAD50818.2|ARO:3002019|CMY-8	MB-RF036|MB-RF038|MB-RF039|MB-RF041|MB-RF038|MB-RF038|MB-RF039
gb|AAD51344.1|ARO:3003051|smeA	MB-RF006|MB-RF072|MB-RF081|MB-RF086|MB-RF108
gb|AAD51345.1|ARO:3003052|smeB	MB-RF006|MB-RF008|MB-RF072|MB-RF086|MB-RF108
gb|AAD51346.1|ARO:3003053|smeC	MB-RF006|MB-RF009|MB-RF072|MB-RF086|MB-RF108
gb|AAD51347.1|ARO:3003067|smeS	MB-RF023|MB-RF060
gb|AAD51348.1|ARO:3003066|smeR	MB-RF022|MB-RF060
gb|AAD52985.1|ARO:3002570|AAC(6')-Iz	MB-RF004|MB-RF011
gb|AAF01046.1|ARO:3000936|TEM-70	MB-RF034|MB-RF127
gb|AAF01499.1|ARO:3000193|tetT	MB-RF143
gb|AAF03531.1|ARO:3002569|AAC(6')-Iy	MB-RF004|MB-RF011
gb|AAF04388.1|ARO:3001871|CTX-M-8	MB-RF034|MB-RF048
gb|AAF04458.1|ARO:3000850|GOB-1	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAF05311.2|ARO:3001872|CTX-M-9	MB-RF034|MB-RF048
gb|AAF05611.1|ARO:3000946|TEM-79	MB-RF034|MB-RF127
gb|AAF05612.1|ARO:3000944|TEM-78	MB-RF034|MB-RF127
gb|AAF05613.1|ARO:3000942|TEM-76	MB-RF034|MB-RF127
gb|AAF09244.1|ARO:3000849|SFH-1	MB-RF035|MB-RF112|MB-RF124
gb|AAF17880.1|ARO:3002605|aadA5	MB-RF011|MB-RF012|MB-RF014
gb|AAF19151.1|ARO:3000938|TEM-72	MB-RF034|MB-RF127
gb|AAF27723.1|ARO:3002330|GES-1	MB-RF034|MB-RF059
gb|AAF27726.1|ARO:3002694|cmlA4	MB-RF086|MB-RF142|MB-RF145
gb|AAF27727.1|ARO:3002602|aadA2	MB-RF011|MB-RF012|MB-RF014
gb|AAF34333.1|ARO:3001077|SHV-19	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAF34334.1|ARO:3001078|SHV-20	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAF34335.1|ARO:3001079|SHV-21	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAF34336.1|ARO:3001080|SHV-22	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAF34337.1|ARO:3001081|SHV-23	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAF36719.1|ARO:3001084|SHV-26	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAF36802.1|ARO:3002945|vanHF	MB-RF151
gb|AAF36803.1|ARO:3002908|vanF	MB-RF147
gb|AAF36804.1|ARO:3002952|vanXF	MB-RF156
gb|AAF36805.1|ARO:3002958|vanYF	MB-RF157
gb|AAF36806.1|ARO:3002963|vanZF	MB-RF158
gb|AAF37209.2|ARO:3001083|SHV-25	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAF40763.1|ARO:3003961|farA	MB-RF006|MB-RF072|MB-RF086|MB-RF108
gb|AAF40764.1|ARO:3003962|farB	MB-RF006|MB-RF010|MB-RF054|MB-RF086|MB-RF108|MB-RF145
gb|AAF42062.1|ARO:3000811|mtrD	MB-RF006|MB-RF008|MB-RF072|MB-RF086|MB-RF108
gb|AAF42063.1|ARO:3000810|mtrC	MB-RF006|MB-RF072|MB-RF081|MB-RF086|MB-RF108
gb|AAF61147.1|ARO:3004751|BES-1	MB-RF034
gb|AAF61417.1|ARO:3002244|CARB-5	MB-RF030|MB-RF034
gb|AAF64386.1|ARO:3001076|SHV-18	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAF66653.1|ARO:3000959|TEM-92	MB-RF034|MB-RF127
gb|AAF67494.2|ARO:3002522|novA	MB-RF006|MB-RF088|MB-RF108
gb|AAF72530.1|ARO:3001877|CTX-M-14	MB-RF034|MB-RF048
gb|AAF72531.1|ARO:3001876|CTX-M-13	MB-RF034|MB-RF048
gb|AAF72942.1|ARO:3001423|OXA-28	MB-RF037|MB-RF093|MB-RF094
gb|AAF86219.1|ARO:3000375|ErmB	MB-RF055|MB-RF057|MB-RF058|MB-RF058|MB-RF055|MB-RF057
gb|AAF86641.1|ARO:3002922|vanRC	MB-RF152
gb|AAF86642.1|ARO:3002933|vanSC	MB-RF153
gb|AAF86691.1|ARO:3001816|ACC-2	MB-RF036|MB-RF038
gb|AAF86697.1|ARO:3001817|ACC-3	MB-RF036|MB-RF038
gb|AAF89146.1|ARO:3004812|GOB-5	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAF89147.1|ARO:3004810|GOB-3	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAF89148.1|ARO:3004813|GOB-6	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAF89149.1|ARO:3004811|GOB-4	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAF89152.1|ARO:3004809|GOB-2	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAF89153.1|ARO:3004814|GOB-7	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAF93177.1|ARO:3001874|CTX-M-11	MB-RF034|MB-RF048
gb|AAG01039.1|ARO:3001085|SHV-27	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAG03380.1|ARO:3002703|cmx	MB-RF086|MB-RF142|MB-RF145
gb|AAG03546.1|ARO:3003679|TriA	MB-RF006|MB-RF072|MB-RF086|MB-RF108
gb|AAG03547.1|ARO:3003680|TriB	MB-RF006|MB-RF072|MB-RF086|MB-RF108
gb|AAG03548.1|ARO:3003681|TriC	MB-RF006|MB-RF072|MB-RF085|MB-RF086|MB-RF108
gb|AAG03816.1|ARO:3000379|OprM	MB-RF006|MB-RF009|MB-RF072|MB-RF086|MB-RF108
gb|AAG05661.1|ARO:3004107|Pseudomonas	MB-RF060|MB-RF121
gb|AAG05881.1|ARO:3000803|MexE	MB-RF006|MB-RF072|MB-RF083|MB-RF086|MB-RF108|MB-RF006|MB-RF072|MB-RF083|MB-RF108
gb|AAG05882.1|ARO:3000804|MexF	MB-RF006|MB-RF072|MB-RF085|MB-RF086|MB-RF108
gb|AAG05883.1|ARO:3000805|OprN	MB-RF006|MB-RF009|MB-RF072|MB-RF086|MB-RF108
gb|AAG05913.1|ARO:3004072|OpmB	MB-RF006|MB-RF009|MB-RF072|MB-RF086|MB-RF108
gb|AAG05914|ARO:3004075|MuxC	MB-RF006|MB-RF072|MB-RF085|MB-RF086|MB-RF108
gb|AAG05915.1|ARO:3004074|MuxB	MB-RF006|MB-RF072|MB-RF085|MB-RF086|MB-RF108
gb|AAG05916.1|ARO:3004073|MuxA	MB-RF006|MB-RF072|MB-RF086|MB-RF108
gb|AAG07064.1|ARO:3003693|mexK	MB-RF006|MB-RF072|MB-RF085|MB-RF086|MB-RF108
gb|AAG07065.1|ARO:3003692|mexJ	MB-RF006|MB-RF072|MB-RF086|MB-RF108
gb|AAG07066.1|ARO:3003710|mexL	MB-RF060|MB-RF107|MB-RF108
gb|AAG07106.1|ARO:3004056|ArmR	MB-RF060|MB-RF108
gb|AAG07592.1|ARO:3000806|mexG	MB-RF006|MB-RF086|MB-RF108
gb|AAG07593.1|ARO:3000807|mexH	MB-RF006|MB-RF072|MB-RF086|MB-RF108|MB-RF006|MB-RF072|MB-RF108
gb|AAG07595.1|ARO:3000809|opmD	MB-RF006|MB-RF009|MB-RF072|MB-RF086|MB-RF108
gb|AAG07762.1|ARO:3003030|mexV	MB-RF006|MB-RF072|MB-RF086|MB-RF108
gb|AAG07763.1|ARO:3003031|mexW	MB-RF084|MB-RF108|MB-RF006|MB-RF072|MB-RF084|MB-RF086|MB-RF108
gb|AAG08359.1|ARO:3003682|OpmH	MB-RF006|MB-RF009|MB-RF086|MB-RF108|MB-RF146
gb|AAG11411.2|ARO:3004680|APH(3')-VIIIa	MB-RF011|MB-RF018
gb|AAG12974.1|ARO:3002159|FOX-5	MB-RF038|MB-RF039|MB-RF042|MB-RF036|MB-RF038
gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	MB-RF002|MB-RF003|MB-RF011
gb|AAG15384.1|ARO:3001086|SHV-28	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAG16656.1|ARO:3002705|floR	MB-RF086|MB-RF145
gb|AAG17550.1|ARO:3001073|SHV-14	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAG24866.1|ARO:3001430|OXA-36	MB-RF037|MB-RF093|MB-RF097
gb|AAG27703.1|ARO:3002273|VIM-3	MB-RF035|MB-RF123|MB-RF160
gb|AAG29757.1|ARO:3002257|IND-2	MB-RF035|MB-RF065|MB-RF123
gb|AAG29760.1|ARO:3002258|IND-2a	MB-RF035|MB-RF065|MB-RF123
gb|AAG29761.2|ARO:3002259|IND-3	MB-RF035|MB-RF065|MB-RF123
gb|AAG29765.2|ARO:3002260|IND-4	MB-RF035|MB-RF065|MB-RF123
gb|AAG29813.1|ARO:3002380|SME-2	MB-RF034|MB-RF120
gb|AAG33665.1|ARO:3001431|OXA-37	MB-RF037|MB-RF093|MB-RF097
gb|AAG34108.1|ARO:3001875|CTX-M-12	MB-RF034|MB-RF048
gb|AAG35607.1|ARO:3001420|OXA-25	MB-RF037|MB-RF093|MB-RF100
gb|AAG35608.1|ARO:3001421|OXA-26	MB-RF037|MB-RF093|MB-RF100
gb|AAG35609.2|ARO:3001422|OXA-27	MB-RF037|MB-RF093|MB-RF100
gb|AAG36927.1|ARO:3002133|DHA-2	MB-RF036|MB-RF049
gb|AAG44570.1|ARO:3000954|TEM-87	MB-RF034|MB-RF127
gb|AAG44836.1|ARO:3004740|AST-1	MB-RF034
gb|AAG45720.1|ARO:3001405|OXA-10	MB-RF037|MB-RF093|MB-RF094
gb|AAG49894.1|ARO:3001087|SHV-29	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAK01167.1|ARO:3002819|msrC	MB-RF006
gb|AAK07612.2|ARO:3000604|Erm(35)	MB-RF055|MB-RF058
gb|AAK12087.1|ARO:3002198|IMP-7	MB-RF035|MB-RF063|MB-RF123
gb|AAK13078.1|ARO:3002195|IMP-4	MB-RF035|MB-RF063|MB-RF123
gb|AAK13430.1|ARO:3002199|IMP-8	MB-RF035|MB-RF063|MB-RF123
gb|AAK14293.1|ARO:3002378|VEB-9	MB-RF034|MB-RF159
gb|AAK14294.1|ARO:3003712|VEB-1b	MB-RF034|MB-RF159
gb|AAK14791|ARO:3004239|NPS-1	MB-RF037|MB-RF069|MB-RF093|MB-RF037|MB-RF092
gb|AAK14792.1|ARO:3000955|TEM-88	MB-RF034|MB-RF127
gb|AAK15582.1|ARO:3001428|OXA-34	MB-RF037|MB-RF093|MB-RF097
gb|AAK17194.1|ARO:3000931|TEM-63	MB-RF034|MB-RF127
gb|AAK18183.1|ARO:3002337|GES-8	MB-RF034|MB-RF059
gb|AAK26252.2|ARO:3002583|AAC(6')-29a	MB-RF004|MB-RF011
gb|AAK27847.1|ARO:3002196|IMP-5	MB-RF035|MB-RF063|MB-RF123
gb|AAK29174.1|ARO:3002371|VEB-2	MB-RF034|MB-RF159
gb|AAK30619.1|ARO:3000957|TEM-90	MB-RF034|MB-RF127
gb|AAK31368.1|ARO:3002021|CMY-10	MB-RF036|MB-RF038|MB-RF039|MB-RF041|MB-RF038|MB-RF038|MB-RF039
gb|AAK31370.1|ARO:3002022|CMY-11	MB-RF036|MB-RF038|MB-RF039|MB-RF041|MB-RF038|MB-RF038|MB-RF039
gb|AAK32961.1|ARO:3001879|CTX-M-16	MB-RF034|MB-RF048
gb|AAK38324.1|ARO:3000840|JOHN-1	MB-RF027|MB-RF035|MB-RF123
gb|AAK49460.1|ARO:3001429|OXA-35	MB-RF037|MB-RF093|MB-RF094
gb|AAK52604.1|ARO:3001425|OXA-31	MB-RF037|MB-RF093|MB-RF096
gb|AAK52606.1|ARO:3002696|cmlA6	MB-RF086|MB-RF142|MB-RF145
gb|AAK55330.1|ARO:3001768|OXA-118	MB-RF037|MB-RF093|MB-RF097
gb|AAK55534.1|ARO:3001881|CTX-M-19	MB-RF034|MB-RF048
